Absolute Magnitude,Relative Velocity km per hr,avg_diameter,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
21.6,22017.003799315,0.2058460875,62753692.0,5,0.025281900000000003,4.6339999999999995,2458000.5,0.4255490832802685,1.4070113027129758,6.025981287138329,314.37391341340765,609.599786407648,0.8082589326784929,57.25746987539545,2.005763672747459,2458161.6417204863,264.8375332988031,0.5905513880204395,True
21.3,65210.3460948409,0.23634293084999997,57298148.0,3,0.186935,5.457000000000001,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.86929420667883,0.7181996160227876,313.0919748302692,1.4973522928526517,2457794.969431285,173.7411119891742,0.8453297875598617,False
20.3,27326.5601819679,0.3745783022,7622911.5,0,0.0430579,4.5569999999999995,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947923,259.4759789450263,643.580228077368,0.9507909568669541,248.41503811286069,1.966856672082667,2458120.4675489054,292.8936537794408,0.5593708201314143,True
27.4,40225.948191338,0.01424106985,42683616.0,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.707700871720892,1.5279042122547868,2457902.3374338527,68.74100661777578,0.7002771964497434,False
21.6,35426.9917941048,0.2058460875,61010824.0,1,0.034798,5.154,2458000.5,0.2104479432284866,1.2256147366183272,16.79338165999116,84.62930679460825,495.59782094491095,0.9676866361064762,158.26359607132932,1.4835428371301767,2457814.4551486885,135.1421326756292,0.7263954456329549,True
19.6,38911.83825064,0.5170619942,58759768.0,1,0.27221300000000004,4.724,2458000.5,0.5634410734978924,1.3235321799707758,17.92775064011703,178.9719507770034,556.1605558442809,0.5777997876790363,198.1459691510273,2.0692645722625156,2458009.402634515,354.23736834333124,0.6472950953048102,False
19.6,38911.829716462,0.5170619942,58759532.0,1,0.27221300000000004,4.724,2458000.5,0.5634411100746358,1.3235321619639022,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.14595985267582,2.069264592520325,2458009.4025913575,354.237396160877,0.6472951085146458,False
19.2,87918.78238171991,0.62164524615,19324928.0,0,0.0987582,4.921,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,502.8087578997973,0.6809045288785588,288.37465111560454,1.794044543719008,2458242.439098669,186.7769322776995,0.7159779823718642,False
17.8,62545.6218132504,1.1845205970000001,53598364.0,0,0.10935399999999999,5.386,2458000.5,0.2381790104348694,1.1455508492660331,22.21521029077527,80.21113209162255,447.8370128477652,0.8727046815850249,353.4223941040977,1.4183970169470412,2458221.6364041567,182.2364315309588,0.8038638827791039,False
21.5,46438.5949989635,0.21554731475000002,22709816.0,0,0.0169065,6.622999999999999,2458000.5,0.5513888068330071,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.76593719653218,1.359211087430526,2457900.7702821824,119.8613823033982,1.201862242530755,True
22.4,80716.918732587,0.1424106986,30075154.0,6,0.000317965,7.0329999999999995,2458000.5,0.4758194774081156,0.8138767249034949,23.18568668072357,117.11122404455358,268.18616502096,0.4266183269852852,220.94037075796882,1.201135122821705,2457996.3603927726,5.556806412851552,1.342351123786957,False
25.8,62188.6012700346,0.02975381215,64479012.0,4,0.00186378,5.122000000000001,2458000.5,0.2048406780030454,1.2407893175947429,13.7442332087249,161.93351857442102,504.8303955012963,0.9866251925196996,13.92021256207252,1.494953442669786,2457935.033370717,46.68495944704712,0.7131107857372974,False
25.0,43626.635832294705,0.043007343399999995,53825524.0,6,0.0187898,6.3839999999999995,2458000.5,0.326860711970322,0.930233744449396,8.333753551706272,20.491270865055448,327.70763611827164,0.626176880439848,128.46312989278,1.234290608458944,2457939.7129855743,66.77697673554128,1.098540163006986,False
19.1,38987.734642195,0.650942484,64425220.0,0,0.214004,4.862,2458000.5,0.1493579627014401,1.32292378805863,21.26523155355708,122.4368331936925,555.777121989752,1.1253345862649209,297.7298536948962,1.5205129898523382,2457976.984646116,15.231874547101482,0.6477416679390378,False
